redirect_id,original_redirect_id,old_url,url_input_id,is_input_element,current_url,suffix,template,record_name,handler,record_id,page_number,row_index,url_index,parsed_at,method
page_1_864_url_8,864,/massazhnoe-maslo-y-lubrykant-bodygliss-s-aromatom-anysa-150-ml/,57783,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,8,2025-08-20T22:24:23.100837,super_optimized_evaluate_all_with_inputs
page_1_864_url_9,864,/orhanycheskoe-massazhnoe-maslo-s-rasslabliaiushchym-effektom-egzo-expert-pleasure-50-ml/,57788,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,9,2025-08-20T22:24:23.100838,super_optimized_evaluate_all_with_inputs
page_1_864_url_10,864,/orhanycheskoe-massazhnoe-maslo-s-vozbuzhdaiushchym-effektom-egzo-expert-citrus-100-ml/,57792,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,10,2025-08-20T22:24:23.100839,super_optimized_evaluate_all_with_inputs
page_1_864_url_11,864,/ru/massazhnoe-maslo-y-lubrykant-bodygliss-s-aromatom-anysa-150-ml/,57796,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,11,2025-08-20T22:24:23.100841,super_optimized_evaluate_all_with_inputs
page_1_864_url_12,864,/massazhnyi-hel-lovestim-orgasmic-touch-zi-smakom-malyny-150-ml/,57800,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,12,2025-08-20T22:24:23.100842,super_optimized_evaluate_all_with_inputs
page_1_864_url_13,864,/probnyk-masazhnoho-masla-z-feromonamy-mai-pheromon-massage-oil-chocolate-10-ml/,57819,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,13,2025-08-20T22:24:23.100843,super_optimized_evaluate_all_with_inputs
page_1_864_url_14,864,/massazhnyi-hel-y-lubrykant-boo-2-v1-massage-lube-150-ml/,57828,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,14,2025-08-20T22:24:23.100845,super_optimized_evaluate_all_with_inputs
page_1_864_url_15,864,/massazhnaiasvechaexotiqmassagecandlevanillaamber-60ml/,57832,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,15,2025-08-20T22:24:23.100846,super_optimized_evaluate_all_with_inputs
page_1_864_url_16,864,/massazhnyi-hel-y-lubrykant-hot-massage-glide-gel-2in1-strawberry-200-ml/,57839,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,16,2025-08-20T22:24:23.100847,super_optimized_evaluate_all_with_inputs
page_1_864_url_17,864,/ru/massazhnaia-svecha-mystim-romantycheskoe-puteshestvye-120-hramm/,57846,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,17,2025-08-20T22:24:23.100849,super_optimized_evaluate_all_with_inputs
page_1_864_url_18,864,/ru/svecha-dlia-massazha-shiatsu-yantar-130-hr/,57860,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,18,2025-08-20T22:24:23.100850,super_optimized_evaluate_all_with_inputs
page_1_864_url_19,864,/ru/massazhnoe-maslo-shiatsu-passion-vyshnia-y-rozmaryn/,57862,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,19,2025-08-20T22:24:23.100851,super_optimized_evaluate_all_with_inputs
page_1_864_url_20,864,/ru/massazhnyi-hel-y-lubrykant-boo-2-v1-massage-lube-50-ml/,57863,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,20,2025-08-20T22:24:23.100852,super_optimized_evaluate_all_with_inputs
page_1_864_url_21,864,/ru/massazhnaiasvechaexotiqmassagecandlevanilla200g/,57866,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,21,2025-08-20T22:24:23.100854,super_optimized_evaluate_all_with_inputs
page_1_864_url_22,864,/ru/zbudlyve-masazhne-maslo-magoon-love-fantasy-100-ml/,57880,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,22,2025-08-20T22:24:23.100855,super_optimized_evaluate_all_with_inputs
page_1_864_url_23,864,/oliia-dlia-fistynhu-500mol-buttr-fisting-butter/,57884,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,23,2025-08-20T22:24:23.100856,super_optimized_evaluate_all_with_inputs
page_1_864_url_24,864,/zbudlyve-masazhne-maslo-magoon-love-fantasy-100-ml/,57892,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,24,2025-08-20T22:24:23.100858,super_optimized_evaluate_all_with_inputs
page_1_864_url_25,864,/krem-dlia-fistynhu-fist-it-numbing-500-ml/,57896,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,25,2025-08-20T22:24:23.100859,super_optimized_evaluate_all_with_inputs
page_1_864_url_26,864,/probnyk-masazhnoho-heliu-sensuva-sizzle-lips-butter-rum-6-ml/,57903,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,26,2025-08-20T22:24:23.100860,super_optimized_evaluate_all_with_inputs
page_1_864_url_27,864,/ru/sedobnoe-maslo-dlia-tela-shiatsu-abrykos-y-oblepykha-75ml/,57924,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,27,2025-08-20T22:24:23.100862,super_optimized_evaluate_all_with_inputs
page_1_864_url_28,864,/ru/sedobnoe-maslo-dlia-tela-shiatsu-yaponskaia-miata-75ml/,57934,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,28,2025-08-20T22:24:23.100863,super_optimized_evaluate_all_with_inputs
page_1_864_url_29,864,/ru/krem-dlia-fistynhu-500ml-buttr-fisting-cream/,57937,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,29,2025-08-20T22:24:23.100864,super_optimized_evaluate_all_with_inputs
page_1_864_url_30,864,/ru/ex-mc-02-200-massazhnaia-svecha-exotiq-massage-candle-violet-rose-200-h/,57947,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,30,2025-08-20T22:24:23.100866,super_optimized_evaluate_all_with_inputs
page_1_865_url_0,865,/dlia-hlybokoho-minetu,396,True,/dlia-oralnoho-seksu,/,Структура сайту,Для орального сексу,4,1109,1,65,0,2025-08-20T22:24:23.100867,super_optimized_evaluate_all_with_inputs
page_1_865_url_1,865,/dlia-hlybokoho-minetu/,1391,True,/dlia-oralnoho-seksu,/,Структура сайту,Для орального сексу,4,1109,1,65,1,2025-08-20T22:24:23.100869,super_optimized_evaluate_all_with_inputs
page_1_865_url_2,865,/zasoby-dlia-hlybokoho-minetu,1392,True,/dlia-oralnoho-seksu,/,Структура сайту,Для орального сексу,4,1109,1,65,2,2025-08-20T22:24:23.100870,super_optimized_evaluate_all_with_inputs
page_1_865_url_3,865,/zasoby-dlia-hlybokoho-minetu/,5599,True,/dlia-oralnoho-seksu,/,Структура сайту,Для орального сексу,4,1109,1,65,3,2025-08-20T22:24:23.100871,super_optimized_evaluate_all_with_inputs
page_1_865_url_4,865,/sprei-dlia-oralnoho-seksu-orgie-wow/item/blesk-dlya-gub-dlya-oralnogo- seksa-s-effektom-vibraczii-sexy-vibe-orgie-21340/,20252,True,/dlia-oralnoho-seksu,/,Структура сайту,Для орального сексу,4,1109,1,65,4,2025-08-20T22:24:23.100873,super_optimized_evaluate_all_with_inputs
page_1_865_url_5,865,/dlia-oralnoho-seksu,24804,True,/dlia-oralnoho-seksu,/,Структура сайту,Для орального сексу,4,1109,1,65,5,2025-08-20T22:24:23.100874,super_optimized_evaluate_all_with_inputs
page_1_866_url_0,866,/probnyky-zasobiv,397,True,/probnyky-kosmetyky,/,Структура сайту,Пробники косметики,4,1110,1,66,0,2025-08-20T22:24:23.100876,super_optimized_evaluate_all_with_inputs
page_1_866_url_1,866,/probnyky-zasobiv/,1403,True,/probnyky-kosmetyky,/,Структура сайту,Пробники косметики,4,1110,1,66,1,2025-08-20T22:24:23.100877,super_optimized_evaluate_all_with_inputs
page_1_866_url_2,866,/probnyky-kosmetyky,24805,True,/probnyky-kosmetyky,/,Структура сайту,Пробники косметики,4,1110,1,66,2,2025-08-20T22:24:23.100878,super_optimized_evaluate_all_with_inputs
page_1_867_url_0,867,/mister-size,24806,True,/mister-size,/,Бренди,Mister Size,349,96,1,67,0,2025-08-20T22:24:23.100880,super_optimized_evaluate_all_with_inputs
page_1_868_url_0,868,/trojan-brand,24807,True,/trojan-brand,/,Бренди,Trojan,349,97,1,68,0,2025-08-20T22:24:23.100882,super_optimized_evaluate_all_with_inputs
page_1_869_url_0,869,/einhorn-brand,24808,True,/einhorn-brand,/,Бренди,Einhorn,349,98,1,69,0,2025-08-20T22:24:23.100883,super_optimized_evaluate_all_with_inputs
page_1_870_url_0,870,/sagami,24809,True,/sagami,/,Бренди,Sagami,349,99,1,70,0,2025-08-20T22:24:23.100885,super_optimized_evaluate_all_with_inputs
page_1_871_url_0,871,/bijoux,414,True,/bijoux-indiscrets,/,Бренди,Bijoux Indiscrets,349,100,1,71,0,2025-08-20T22:24:23.100887,super_optimized_evaluate_all_with_inputs
page_1_871_url_1,871,/bijoux/,420,True,/bijoux-indiscrets,/,Бренди,Bijoux Indiscrets,349,100,1,71,1,2025-08-20T22:24:23.100888,super_optimized_evaluate_all_with_inputs
page_1_871_url_2,871,/bijoux-indiscrets,24810,True,/bijoux-indiscrets,/,Бренди,Bijoux Indiscrets,349,100,1,71,2,2025-08-20T22:24:23.100889,super_optimized_evaluate_all_with_inputs
page_1_872_url_0,872,/shiatsu,24811,True,/shiatsu,/,Бренди,SHIATSU,349,101,1,72,0,2025-08-20T22:24:23.100891,super_optimized_evaluate_all_with_inputs
page_1_873_url_0,873,/satisfyer,24812,True,/satisfyer,/,Бренди,Satisfyer,349,102,1,73,0,2025-08-20T22:24:23.100893,super_optimized_evaluate_all_with_inputs
page_1_874_url_0,874,/system-jo,24813,True,/system-jo,/,Бренди,System JO,349,103,1,74,0,2025-08-20T22:24:23.100894,super_optimized_evaluate_all_with_inputs
page_1_875_url_0,875,/uberlube,24814,True,/uberlube,/,Бренди,Uberlube,349,104,1,75,0,2025-08-20T22:24:23.100896,super_optimized_evaluate_all_with_inputs
page_1_876_url_0,876,/pjur,24815,True,/pjur,/,Бренди,Pjur,349,105,1,76,0,2025-08-20T22:24:23.100897,super_optimized_evaluate_all_with_inputs
page_1_878_url_0,878,/klasychni,423,True,/klasychni-lubrikanty,/,Структура сайту,Класичні лубриканти,4,1111,1,77,0,2025-08-20T22:24:23.100899,super_optimized_evaluate_all_with_inputs
page_1_878_url_1,878,/klasychni/,22304,True,/klasychni-lubrikanty,/,Структура сайту,Класичні лубриканти,4,1111,1,77,1,2025-08-20T22:24:23.100900,super_optimized_evaluate_all_with_inputs
page_1_878_url_2,878,/klasychni-lubrikanty,24816,True,/klasychni-lubrikanty,/,Структура сайту,Класичні лубриканти,4,1111,1,77,2,2025-08-20T22:24:23.100902,super_optimized_evaluate_all_with_inputs
page_1_879_url_0,879,/sedobnyi-lubrykant-wicked-aqua-strawberry-flavored-30ml/,20341,True,/oralni,/,Структура сайту,Оральні лубриканти,4,1112,1,78,0,2025-08-20T22:24:23.100903,super_optimized_evaluate_all_with_inputs
page_1_879_url_1,879,/stymulyruiushchyi-oralnyi-hel-oral-optimizer-blowjob-gel-vanilla-50-ml/,20346,True,/oralni,/,Структура сайту,Оральні лубриканти,4,1112,1,78,1,2025-08-20T22:24:23.100905,super_optimized_evaluate_all_with_inputs
page_1_879_url_2,879,/sedobnyi-lubrykant-4-v-1-wet-warming-desserts-slow-baked-hazelnut-souffle-89-ml/,20374,True,/oralni,/,Структура сайту,Оральні лубриканти,4,1112,1,78,2,2025-08-20T22:24:23.100906,super_optimized_evaluate_all_with_inputs
page_1_879_url_3,879,/sedobnyi-lubrykant-4-v-1-wet-warming-desserts-oven-baked-apple-pie-so-vkusom-pyroha-30-ml/,20388,True,/oralni,/,Структура сайту,Оральні лубриканти,4,1112,1,78,3,2025-08-20T22:24:23.100907,super_optimized_evaluate_all_with_inputs
page_1_879_url_4,879,/oralni/filter/page=2/,20419,True,/oralni,/,Структура сайту,Оральні лубриканти,4,1112,1,78,4,2025-08-20T22:24:23.100909,super_optimized_evaluate_all_with_inputs
page_1_879_url_5,879,/sedobnyi-lubrykant-4-v-1-wet-warming-desserts-fresh-delicious-donuts-so-vkusom-ponchykov-89-ml/,20494,True,/oralni,/,Структура сайту,Оральні лубриканти,4,1112,1,78,5,2025-08-20T22:24:23.100910,super_optimized_evaluate_all_with_inputs
